[Plate: ]
Time [s]: 0
  100285	  107058	  120038	  111533	  103794	   97755
  111547	  124404	  137540	  149842	  142374	  149277
  156598	  187455	  183770	  199684	  175978	  200727
  187764	  204558	      na	      na	      na	      na

Time [s]: 3960
   98576	  105946	  111455	  117743	  106686	   98750
  110351	  113518	  139533	  148600	  134264	  147947
  157410	  194057	  189861	  191380	  182530	  200530
  188419	  202003	      na	      na	      na	      na

Time [s]: 4020
  100433	  104223	  114929	  111605	  112548	   97170
  117935	  116862	  146704	  144684	  145017	  144110
  158185	  196501	  192627	  190531	  184723	  203399
  186845	  205532	      na	      na	      na	      na

Time [s]: 4080
  106654	  111823	  122949	  110693	  107176	  101552
  108865	  122559	  146549	  143913	  138498	  151026
  159617	  183986	  184858	  188023	  189676	  209281
  195754	  213822	      na	      na	      na	      na

Time [s]: 4140
  111600	  109962	  120255	  116175	  111550	   94904
  112603	  126511	  146245	  151106	  131012	  149272
  159920	  203270	  184275	  197897	  192719	  205406
  182928	  217177	      na	      na	      na	      na

Time [s]: 4200
  111125	  110004	  119701	  120163	  107046	  106497
  108496	  122478	  154196	  143350	  150078	  148089
  156150	  192690	  187206	  192424	  198395	  205057
  191657	  220695	      na	      na	      na	      na

Time [s]: 4260
  106839	  113136	  116919	  115531	  107626	  102005
  108157	  125224	  153385	  153401	  133732	  150137
  162828	  191342	  183987	  181984	  189804	  202293
  183757	  214954	      na	      na	      na	      na

Time [s]: 4320
