[Plate: weiss pilot]
Time [s]: 0
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 1980
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1344	    1345	    1307	    1381	    1319	    1339	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2040
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1309	    1349	    1359	    1376	    1335	    1390	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2100
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1333	    1356	    1363	    1346	    1310	    1355	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2160
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1279	    1344	    1337	    1302	    1311	    1336	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2220
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1307	    1333	    1333	    1299	    1289	    1327	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2280
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1268	    1342	    1288	    1331	    1295	    1340	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2340
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1246	    1308	    1332	    1333	    1298	    1299	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2400
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1282	    1327	    1319	    1270	    1319	    1303	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2460
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1233	    1395	    1339	    1293	    1334	    1307	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2520
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1222	    1377	    1370	    1312	    1277	    1284	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2580
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1261	    1389	    1308	    1319	    1319	    1273	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2640
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1215	    1375	    1300	    1339	    1296	    1252	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na

Time [s]: 2700
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
      na	      na	      na	    1260	    1327	    1254	    1315	    1287	    1292	      na	      na	      na
      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na	      na
